date,county,state,fips,cases,deaths
01/02/2023,Crockett,Texas,48105,1335,20
01/02/2023,Crosby,Texas,48107,2208,47
01/02/2023,Culberson,Texas,48109,541,15
01/02/2023,Dallam,Texas,48111,2382,43
01/02/2023,Dallas,Texas,48113,678054,7016
01/02/2023,Dawson,Texas,48115,3434,101
01/02/2023,DeWitt,Texas,48123,7157,113
01/02/2023,Deaf Smith,Texas,48117,5656,119
01/02/2023,Delta,Texas,48119,2023,27
01/02/2023,Denton,Texas,48121,218745,1417
01/02/2023,Dickens,Texas,48125,506,16
01/02/2023,Dimmit,Texas,48127,6156,52
01/02/2023,Donley,Texas,48129,1286,27
01/02/2023,Duval,Texas,48131,4235,73
01/02/2023,Eastland,Texas,48133,3318,118
01/02/2023,Ector,Texas,48135,42791,725
01/02/2023,Edwards,Texas,48137,573,11
01/02/2023,El Paso,Texas,48141,250397,3851
01/02/2023,Ellis,Texas,48139,56565,606
01/02/2023,Erath,Texas,48143,9738,132
01/02/2023,Falls,Texas,48145,4382,75
01/02/2023,Fannin,Texas,48147,7947,203
01/02/2023,Fayette,Texas,48149,5394,115
01/02/2023,Fisher,Texas,48151,707,31
01/02/2023,Floyd,Texas,48153,2289,49
01/02/2023,Foard,Texas,48155,247,11
01/02/2023,Fort Bend,Texas,48157,239244,1324
01/02/2023,Franklin,Texas,48159,2595,46
01/02/2023,Freestone,Texas,48161,4242,87
01/02/2023,Frio,Texas,48163,6600,95
01/02/2023,Gaines,Texas,48165,2373,86
01/02/2023,Galveston,Texas,48167,117020,888
01/02/2023,Garza,Texas,48169,1455,31
01/02/2023,Gillespie,Texas,48171,6122,117
01/02/2023,Glasscock,Texas,48173,224,3
01/02/2023,Goliad,Texas,48175,1509,33
01/02/2023,Gonzales,Texas,48177,5276,106
01/02/2023,Gray,Texas,48179,6899,134
01/02/2023,Grayson,Texas,48181,31059,669
01/02/2023,Gregg,Texas,48183,26384,720
01/02/2023,Grimes,Texas,48185,9887,125
01/02/2023,Guadalupe,Texas,48187,44759,438
01/02/2023,Hale,Texas,48189,8198,250
01/02/2023,Hall,Texas,48191,1268,24
01/02/2023,Hamilton,Texas,48193,2095,36
01/02/2023,Hansford,Texas,48195,2264,31
01/02/2023,Hardeman,Texas,48197,624,21
01/02/2023,Hardin,Texas,48199,14357,256
01/02/2023,Harris,Texas,48201,1241025,11433
01/02/2023,Harrison,Texas,48203,15458,296
01/02/2023,Hartley,Texas,48205,1484,19
01/02/2023,Haskell,Texas,48207,1061,40
01/02/2023,Hays,Texas,48209,76535,551
01/02/2023,Hemphill,Texas,48211,1414,8
01/02/2023,Henderson,Texas,48213,18014,463
01/02/2023,Hidalgo,Texas,48215,258546,4032
01/02/2023,Hill,Texas,48217,9931,202
01/02/2023,Hockley,Texas,48219,9114,169
01/02/2023,Hood,Texas,48221,14772,290
01/02/2023,Hopkins,Texas,48223,8475,189
01/02/2023,Houston,Texas,48225,4880,121
01/02/2023,Howard,Texas,48227,7745,191
01/02/2023,Hudspeth,Texas,48229,1156,18
01/02/2023,Hunt,Texas,48231,19103,392
01/02/2023,Hutchinson,Texas,48233,7476,147
01/02/2023,Irion,Texas,48235,586,3
01/02/2023,Jack,Texas,48237,1641,31
01/02/2023,Jackson,Texas,48239,3840,61
01/02/2023,Jasper,Texas,48241,7953,206
01/02/2023,Jeff Davis,Texas,48243,273,10
01/02/2023,Jefferson,Texas,48245,61418,871
01/02/2023,Jim Hogg,Texas,48247,3719,22
01/02/2023,Jim Wells,Texas,48249,13799,225
01/02/2023,Johnson,Texas,48251,50901,770
01/02/2023,Jones,Texas,48253,5240,116
01/02/2023,Karnes,Texas,48255,6363,75
01/02/2023,Kaufman,Texas,48257,41630,553
01/02/2023,Kendall,Texas,48259,9633,131
01/02/2023,Kenedy,Texas,48261,102,2
01/02/2023,Kent,Texas,48263,220,4
01/02/2023,Kerr,Texas,48265,10825,200
01/02/2023,Kimble,Texas,48267,898,15
01/02/2023,King,Texas,48269,54,0
01/02/2023,Kinney,Texas,48271,818,13
01/02/2023,Kleberg,Texas,48273,9018,153
01/02/2023,Knox,Texas,48275,610,25
01/02/2023,La Salle,Texas,48283,2563,53
01/02/2023,Lamar,Texas,48277,14913,274
01/02/2023,Lamb,Texas,48279,5020,127
01/02/2023,Lampasas,Texas,48281,6238,93
01/02/2023,Lavaca,Texas,48285,4770,123
01/02/2023,Lee,Texas,48287,5101,64
01/02/2023,Leon,Texas,48289,4198,95
01/02/2023,Liberty,Texas,48291,21641,413
01/02/2023,Limestone,Texas,48293,5960,134
01/02/2023,Lipscomb,Texas,48295,805,19
01/02/2023,Live Oak,Texas,48297,2376,51
01/02/2023,Llano,Texas,48299,4952,101
01/02/2023,Loving,Texas,48301,369,1
01/02/2023,Lubbock,Texas,48303,110333,1374
01/02/2023,Lynn,Texas,48305,1676,41
01/02/2023,Madison,Texas,48313,4188,66
01/02/2023,Marion,Texas,48315,1995,67
01/02/2023,Martin,Texas,48317,1370,26
01/02/2023,Mason,Texas,48319,1003,13
01/02/2023,Matagorda,Texas,48321,10081,185
01/02/2023,Maverick,Texas,48323,23774,476
01/02/2023,McCulloch,Texas,48307,1759,50
01/02/2023,McLennan,Texas,48309,72912,948
01/02/2023,McMullen,Texas,48311,182,10
01/02/2023,Medina,Texas,48325,11932,211
01/02/2023,Menard,Texas,48327,622,12
01/02/2023,Midland,Texas,48329,46869,519
01/02/2023,Milam,Texas,48331,5835,107
01/02/2023,Mills,Texas,48333,1592,39
01/02/2023,Mitchell,Texas,48335,2082,50
01/02/2023,Montague,Texas,48337,5200,133
01/02/2023,Montgomery,Texas,48339,167908,1352
01/02/2023,Moore,Texas,48341,6258,115
01/02/2023,Morris,Texas,48343,2945,75
01/02/2023,Motley,Texas,48345,316,14
01/02/2023,Nacogdoches,Texas,48347,14473,270
01/02/2023,Navarro,Texas,48349,14106,243
01/02/2023,Newton,Texas,48351,1703,77
01/02/2023,Nolan,Texas,48353,3456,104
01/02/2023,Nueces,Texas,48355,111069,1581
01/02/2023,Ochiltree,Texas,48357,2642,54
01/02/2023,Oldham,Texas,48359,627,6
01/02/2023,Orange,Texas,48361,16908,373
01/02/2023,Palo Pinto,Texas,48363,7896,157
01/02/2023,Panola,Texas,48365,5393,142
01/02/2023,Parker,Texas,48367,39587,512
01/02/2023,Parmer,Texas,48369,2619,53
01/02/2023,Pecos,Texas,48371,3539,72
01/02/2023,Polk,Texas,48373,9127,269
01/02/2023,Potter,Texas,48375,41437,757
01/02/2023,Presidio,Texas,48377,1195,42
01/02/2023,Rains,Texas,48379,2207,66
01/02/2023,Randall,Texas,48381,43950,531
01/02/2023,Reagan,Texas,48383,954,16
01/02/2023,Real,Texas,48385,983,29
01/02/2023,Red River,Texas,48387,2707,71
01/02/2023,Reeves,Texas,48389,5415,76
01/02/2023,Refugio,Texas,48391,2212,40
01/02/2023,Roberts,Texas,48393,194,2
01/02/2023,Robertson,Texas,48395,5227,83
01/02/2023,Rockwall,Texas,48397,30812,274
01/02/2023,Runnels,Texas,48399,2699,69
01/02/2023,Rusk,Texas,48401,12235,275
01/02/2023,Sabine,Texas,48403,1496,91
01/02/2023,San Augustine,Texas,48405,1180,47
01/02/2023,San Jacinto,Texas,48407,6568,130
01/02/2023,San Patricio,Texas,48409,14090,358
01/02/2023,San Saba,Texas,48411,1458,39
01/02/2023,Schleicher,Texas,48413,582,9
01/02/2023,Scurry,Texas,48415,5846,107
01/02/2023,Shackelford,Texas,48417,1084,13
01/02/2023,Shelby,Texas,48419,5196,137
01/02/2023,Sherman,Texas,48421,521,19
01/02/2023,Smith,Texas,48423,55252,998
01/02/2023,Somervell,Texas,48425,2207,39
01/02/2023,Starr,Texas,48427,23593,382
01/02/2023,Stephens,Texas,48429,2098,54
01/02/2023,Sterling,Texas,48431,317,9
01/02/2023,Stonewall,Texas,48433,409,7
01/02/2023,Sutton,Texas,48435,908,14
01/02/2023,Swisher,Texas,48437,2602,34
01/02/2023,Tarrant,Texas,48439,669436,6212
01/02/2023,Taylor,Texas,48441,42432,757
01/02/2023,Terrell,Texas,48443,137,3
01/02/2023,Terry,Texas,48445,2910,85
01/02/2023,Throckmorton,Texas,48447,293,10
01/02/2023,Titus,Texas,48449,10042,145
01/02/2023,Tom Green,Texas,48451,38894,485
01/02/2023,Travis,Texas,48453,286896,1814
01/02/2023,Trinity,Texas,48455,3155,76
01/02/2023,Tyler,Texas,48457,4909,93
01/02/2023,Unknown,Texas,,1467,0
01/02/2023,Upshur,Texas,48459,8937,218
01/02/2023,Upton,Texas,48461,926,18
01/02/2023,Uvalde,Texas,48463,11465,147
01/02/2023,Val Verde,Texas,48465,15740,308
01/02/2023,Van Zandt,Texas,48467,12315,313
01/02/2023,Victoria,Texas,48469,22438,424
01/02/2023,Walker,Texas,48471,21886,225
01/02/2023,Waller,Texas,48473,11386,125
01/02/2023,Ward,Texas,48475,3234,49
01/02/2023,Washington,Texas,48477,10726,160
01/02/2023,Webb,Texas,48479,109465,1084
01/02/2023,Wharton,Texas,48481,11189,226
01/02/2023,Wheeler,Texas,48483,1304,25
01/02/2023,Wichita,Texas,48485,39768,720
01/02/2023,Wilbarger,Texas,48487,4080,90
01/02/2023,Willacy,Texas,48489,8544,137
01/02/2023,Williamson,Texas,48491,165327,1010
01/02/2023,Wilson,Texas,48493,12647,173
01/02/2023,Winkler,Texas,48495,2163,36
01/02/2023,Wise,Texas,48497,19169,291
01/02/2023,Wood,Texas,48499,9491,302
01/02/2023,Yoakum,Texas,48501,1644,42
01/02/2023,Young,Texas,48503,4374,98
01/02/2023,Zapata,Texas,48505,4362,56
01/02/2023,Zavala,Texas,48507,4473,70
01/03/2023,Anderson,Texas,48001,10771,252
01/03/2023,Andrews,Texas,48003,4901,73
01/03/2023,Angelina,Texas,48005,16747,497
01/03/2023,Aransas,Texas,48007,5378,98
01/03/2023,Archer,Texas,48009,2563,32
01/03/2023,Armstrong,Texas,48011,650,11
01/03/2023,Atascosa,Texas,48013,15442,251
01/03/2023,Austin,Texas,48015,6829,84
01/03/2023,Bailey,Texas,48017,1711,39
01/03/2023,Bandera,Texas,48019,4201,80
01/03/2023,Bastrop,Texas,48021,26564,249
01/03/2023,Baylor,Texas,48023,925,33
01/03/2023,Bee,Texas,48025,9731,156
01/03/2023,Bell,Texas,48027,83015,935
01/03/2023,Bexar,Texas,48029,681230,6398
01/03/2023,Blanco,Texas,48031,3121,36
01/03/2023,Borden,Texas,48033,119,2
01/03/2023,Bosque,Texas,48035,4785,75
01/03/2023,Bowie,Texas,48037,24024,450
01/03/2023,Brazoria,Texas,48039,114049,1024
01/03/2023,Brazos,Texas,48041,72946,430
01/03/2023,Brewster,Texas,48043,1346,33
01/03/2023,Briscoe,Texas,48045,559,8
01/03/2023,Brooks,Texas,48047,2013,54
01/03/2023,Brown,Texas,48049,14586,233
01/03/2023,Burleson,Texas,48051,5896,70
01/03/2023,Burnet,Texas,48053,13296,179
01/03/2023,Caldwell,Texas,48055,17327,185
01/03/2023,Calhoun,Texas,48057,6831,53
01/03/2023,Callahan,Texas,48059,3421,77
01/03/2023,Cameron,Texas,48061,130561,2095
01/03/2023,Camp,Texas,48063,3483,77
01/03/2023,Carson,Texas,48065,1704,37
01/03/2023,Cass,Texas,48067,8716,207
01/03/2023,Castro,Texas,48069,2690,48
01/03/2023,Chambers,Texas,48071,12321,138
01/03/2023,Cherokee,Texas,48073,9459,279
01/03/2023,Childress,Texas,48075,2952,34
01/03/2023,Clay,Texas,48077,2433,44
01/03/2023,Cochran,Texas,48079,1010,25
01/03/2023,Coke,Texas,48081,1041,20
01/03/2023,Coleman,Texas,48083,2041,74
01/03/2023,Collin,Texas,48085,267843,1598
01/03/2023,Collingsworth,Texas,48087,852,19
01/03/2023,Colorado,Texas,48089,4342,68
01/03/2023,Comal,Texas,48091,42167,574
01/03/2023,Comanche,Texas,48093,3942,81
01/03/2023,Concho,Texas,48095,1328,12
01/03/2023,Cooke,Texas,48097,8423,153
01/03/2023,Coryell,Texas,48099,20767,227
01/03/2023,Cottle,Texas,48101,372,9
01/03/2023,Crane,Texas,48103,1508,24
01/03/2023,Crockett,Texas,48105,1335,20
01/03/2023,Crosby,Texas,48107,2208,47
01/03/2023,Culberson,Texas,48109,541,15
01/03/2023,Dallam,Texas,48111,2382,43
01/03/2023,Dallas,Texas,48113,678054,7016
01/03/2023,Dawson,Texas,48115,3434,101
01/03/2023,DeWitt,Texas,48123,7157,113
01/03/2023,Deaf Smith,Texas,48117,5656,119
01/03/2023,Delta,Texas,48119,2023,27
01/03/2023,Denton,Texas,48121,218745,1417
01/03/2023,Dickens,Texas,48125,506,16
01/03/2023,Dimmit,Texas,48127,6156,52
01/03/2023,Donley,Texas,48129,1286,27
01/03/2023,Duval,Texas,48131,4235,73
01/03/2023,Eastland,Texas,48133,3318,118
01/03/2023,Ector,Texas,48135,42791,725
01/03/2023,Edwards,Texas,48137,573,11
01/03/2023,El Paso,Texas,48141,250397,3851
01/03/2023,Ellis,Texas,48139,56565,606
01/03/2023,Erath,Texas,48143,9738,132
01/03/2023,Falls,Texas,48145,4382,75
